Product SKU,Product Name,Product Description,Product Price,Product Quantity,Shipping Region,Product  Category,Sub category,Hover Image (Secondary image),Product image1,Product image2,Product image3,Product image4,Product image5,"Product sub attribute Name(Childerns, Adults)",Back order,variant_color,variant_size
203197145008,18Kt Yellow Gold Sphere Earrings,18 Kt Yellow Gold Sphere Earrings 3mm 0.35gr 8032.3 Wbb ,55,4,"USA,MX","1,2,3","9,16,25,27,32",,Vaskia_001(corregida).jpg,,,,,"24,26",Yes,yellow,3mm
240281071775,18Kt Yellow Gold Sphere Earrings,18 Kt Yellow Gold Sphere Earrings 4mm 0.40gr 8032.4 Wbb,60,0,"USA,MX","1,2,3","9,16,25,27,32",,Vaskia_001(corregida).jpg,,,,,"24,26",Yes,yellow,4mm
240261831474,18Kt Yellow Gold Sphere Earrings,18 Kt Yellow Gold Sphere Earrings 5mm 0.50gr 8032.5 Wbb,70,2,"USA,MX","1,2","9,10,16,29",,Vaskia_001(corregida).jpg,,,,,"25,27",Yes,yellow,5mm
240306469327,18Kt Yellow Gold Sphere Earrings,18 Kt Yellow Gold Sphere Earrings 6mm 0.60gr 8032.6 Wbb,80,1,"USA,MX","1,2","9,10,16,30",,Vaskia_001(corregida).jpg,,,,,"25,27",Yes,yellow,6mm
203163185007,18Kt Yellow Gold Sphere Earrings,18 Kt Yellow Gold Sphere Earrings 7mm 0.75gr 8032.7 Wbb,95,0,"USA,MX","1,2","9,16,31",,Vaskia_001(corregida).jpg,,,,,25,Yes,yellow,7mm
243547629260,18Kt Yellow Gold Sphere Earrings,18 Kt Yellow Gold Sphere Earrings 8mm 0.80gr 8032.8 Wbb,125,2,"USA,MX","1,2","9,16,32",,Vaskia_001(corregida).jpg,,,,,25,Yes,yellow,8mm
240191510906,18Kt White Gold Sphere Earrings,18 Kt White Gold Sphere Earrings 3mm 0.35gr 8032.3G Wbb,55,0,"USA,MX","1,2,3","9,16,25,27,32",,Vaskia_009(corregida).jpg,,,,,"24,26",Yes,white,3mm
261715115582,18Kt White Gold Sphere Earrings,18 Kt White Gold Sphere Earrings 4mm 0.40gr 8032.4G Wbb,60,1,"USA,MX","1,2,3","9,16,25,27,32",,Vaskia_009(corregida).jpg,,,,,"24,26",Yes,white,4mm
240237405777,18Kt White Gold Sphere Earrings,18 Kt White Gold Sphere Earrings 5mm 0.50gr 8032.5G Wbb,70,2,"USA,MX","1,2","9,10,16,29",,Vaskia_009(corregida).jpg,,,,,"25,27",Yes,white,5mm
202494170003,18Kt White Gold Sphere Earrings,18 Kt White Gold Sphere Earrings 6mm 0.60gr 8032.6G Wbb,80,2,"USA,MX","1,2","9,10,16,30",,Vaskia_009(corregida).jpg,,,,,"25,27",Yes,white,6mm
202505185002,18Kt White Gold Sphere Earrings,18 Kt White Gold Sphere Earrings 7mm 0.75gr 8032.7G Wbb,95,0,"USA,MX","1,2","9,16,31",,Vaskia_009(corregida).jpg,,,,,25,Yes,white,7mm
261734028627,18Kt White Gold Sphere Earrings,18 Kt White Gold Sphere Earrings 8mm 0.80gr 8032.8G Wbb,125,0,"USA,MX","1,2","9,16,32",,Vaskia_009(corregida).jpg,,,,,25,Yes,white,8mm
259225889529,18Kt Yellow Gold Concave Flower Earrings,18Kt Yellow Gold Concave Flower Earrings 11mm 1.15gr,180,1,USA,"1,2","9,16,27",,Vaskia_004(corregida).jpg,,,,,25,No,yellow,11mm
200583119001,18Kt White Gold Concave Flower Earrings,18Kt White Gold Concave Flower Earrings 11mm 1.10gr Cat/50,180,0,USA,"1,2","9,16,27",,Vaskia_019(corregida).jpg,,,,,25,No,white,11mm
200587119007,18Kt Yellow Gold Concave Heart Earrings,18Kt Yellow  Gold Concave Heart Earrings 11mm 1.10gr Cat/50,180,5,USA,"1,2","9,16,21",,Vaskia_011(corregida).jpg,,,,,25,No,yellow,11mm
225858544982,18Kt White Gold Concave Heart Earrings,18Kt White  Gold Concave Heart Earrings 11mm 1.10gr Cat/50,180,1,USA,"1,2","9,16,21",,Vaskia_005(corregida).jpg,,,,,25,No,white,11mm
200350144007,18Kt White Gold Sphere Monachella Earrings,18Kt White Gold Sphere Monachella Earrings 10mm 3.30gr Cat/20,340,2,USA,"1,2","9,16",,Vaskia_006(corregida).jpg,,,,,25,Yes,,
224642855082,18Kt Yellow Gold Flat Sphere with Yellow Gold Hoop,18Kt Yellow Gold Flat Sphere 18mm with Yellow Gold Hoop 12mm 5.70gr Cat/46 ,890,0,USA,"1,2","9,16,17,27",,Vaskia_013(corregida).jpg,,,,,25,No,yellow,12mm
200254192906,18Kt White Gold Flat Sphere with Yellow Gold Hoop,18Kt White Gold Flat Sphere 18mm with Yellow Gold Hoop 12mm 5.70gr Cat/46 ,890,1,USA,"1,2","9,16,17,27",,Vaskia_010(corregida).jpg,,,,,25,Yes,white,12mm
200256193505,18Kt  Rose Gold Flat Sphere with White Gold Hoop,18Kt Rose Gold Flat Sphere 18mm with White Gold Hoop 12mm 5.70gr Cat/46,890,1,USA,"1,2","9,16,17,27",,Vaskia_012(corregida).jpg,,,,,25,Yes,,
201601115005,18Kt Yellow Gold Concave Disc Earrings ,18Kt Yellow Gold Concave Disc Earrings 11mm 1.10gr Cat/50,180,0,USA,"1,2","9,16,27",,Vaskia_014(corregida).jpg,,,,,25,No,,
227921020829,18Kt Yellow Gold Half Hoop Earrings Elettroforming ,"18Kt Yellow Gold Half Hoop Earrings Elettroforming 7mm wide 13mm long 2,10gr 9554 Wbb",370,1,USA,"1,2","9,16,27",,Vaskia_015(corregida).jpg,,,,,25,Yes,,
243596604607,18Kt Yellow Gold Half Hoop Earrings,18Kt Yellow Gold Half Hoop Earrings 3mm wide 8mm long 0.55gr  8559 Wbb,115,1,USA,"1,2","9,16,27",,Vaskia_016(corregida).jpg,,,,,25,Yes,,
224528683044,18Kt Yellow Gold Concave Flower Shaped Earrings,18Kt Yellow Gold Concave Flower Shaped Earrings 22mm 5.50 gr Cat/46 ,895,1,USA,"1,2","9,16,27",,Vaskia_017(corregida).jpg,,,,,25,No,,
245156304200,18Kt Yellow Gold Mother of Pearl Heart,18Kt Yellow Gold Mother of Pearl Heart 9mm wide 7mm tall 1.00gr 1044-3W,150,0,USA,"1,2","9,21",,Vaskia_018.jpg,,,,,25,Yes,,
243496884031,18Kt Yellow Gold hoops Earrings,18Kt Yellow Gold Hoops Earrings 24mm 1.95gr 2660.3 Wbb,255,0,USA,"1,2","9,16",,Vaskia_020.jpg,,,,,25,Yes,,
243558832024,18Kt Yellow White Gold Half Hoops Earrings,18KT  Yellow White Gold Half Hoop Earrings with Cubic Zirconia 0.75gr 8547GZ Wbb,165,1,USA,"1,2","9,23",,Vaskia_021.jpg,,,,,25,Yes,,
201138178009,18Kt Yellow Gold and Dimond Peace Sign Earrings,18Kt Yellow Gold Peace Sign Earrings with Diamonds 8mm 0.28Ct,780,1,USA,"1,2","9,18",,Vaskia_022.jpg,,,,,25,Yes,,
236023569303,18Kt Heart Earrings with Screwbacks,18Kt Diamond Heart Earrings with Screwbacks 0.20in 172891BT,250,0,USA,"1,2,3","9,25,32",,Vaskia_023.jpg,,,,,"24,26",Yes,,
202881110506,18Kt White Gold Flower Baby Earrings with Screwbacks,18Kt White Gold Flower Baby Earrings with Screwbacks 5mm High 0.40gr 110800 LZ,105,1,USA,"1,2,3","9,25,32",,Vaskia_024.jpg,,,,,"24,26",Yes,,
243474917997,18Kt Yellow Gold Monachella Earrigns,18Kt Yellow Gold Monachella Earrings with Drop in Front 9mm 1.05gr 8388 Wbb,190,1,USA,"1,2","9,16,17,27",,Vaskia_025(corregida).jpg,,,,,25,Yes,,
243582966344,18Kt Yellow Gold Bear Baby Earrings,18Kt Yellow Gold Bear Baby Earrings 0.40gr 8066 Wbb,89,1,USA,"1,2,3","9,25,32",,Vaskia_026(corregido).jpg,,,,,"24,26",Yes,,
201217139501,18Kt Yellow Gold huggies with Citrine ,18KT Yellow Gold Huggies with Citrine Drop 21mm High 2.90Ct 2.60gr ,470,1,USA,"1,2","9,10",,Vaskia_027(corregido).jpg,,,,,27,Yes,,
236812584975,18Kt Tellow Gold Heart Cut Out Huggies,18Kt Yellow Gold Heart Cut Out Huggies 9mm round 2.05gr 14144 Wbb,410,1,USA,"1,2","9,10",,Vaskia_028.jpg,,,,,27,Yes,,
245207749646,18Kt Yellow Gold Two Litte Sphere,18Kt Yellow Gold Two Little Spheres 3mm Earrings 7mm High 1.00gr 922901 LZ,110,1,USA,"1,2,3","9,25,32",,Vaskia_029.jpg,,,,,"24,26",Yes,,
224543277655,18Kt Yellow Gold Concave Heart Shaped Earrings,18KT Yellow Gold Concave Heart Shaped Earrings 22mm High 5.10gr Cat/46 ,870,2,USA,"1,2","9,21",,Vaskia_030(corregido).jpg,,,,,25,No,,
232263997104,18Kt Yellow Gold Turquoise Hoop Earrings,18Kt Yellow Gold Turquoise and Gold Beads Hoop Earrings 11mm High 1.45r 13491 LZ,290,0,USA,"1,2","9,10",,Vaskia_031.jpg,,,,,27,Yes,,
218033668498,18Kt Yellow Gold Huggies with Hanging Pearl, 18Kt White Gold Huggies with Hanging Pearl 21mm High 2.6gr,470,1,USA,"1,2","9,10",,Vaskia_032(corregida).jpg,,,,,27,Yes,,
201229178000,18Kt White Gold Peace Sign Earrings,18Kt White Gold Peace Sign Earrings 8mm with Diamonds 2.45gr 0.28Ct,780,1,USA,"1,2",9,,Vaskia_033.jpg,,,,,25,Yes,,
245176887356,18Kt Yellow Gold Heart Cubic Zirconia,18Kt Yellow Gold Heart With Cubic Zirconia Center Screwback Earrings 5mm High - 5mm Wide  6939 LZ,135,1,USA,"1,2,3","9,25,32",,Vaskia_034(corregida).jpg,,,,,"24,26",Yes,,
201511114006,18Kt Yellow Gold Girl Shape Earrings,18Kt Yellow Gold Girl Shape Earrings 6mm High -5mm Wide 1gr Cat/48 ,160,1,USA,"1,2","9,10",,Vaskia_035(corregida).jpg,,,,,27,Yes,,
243604424500,18Kt Yellow Gold Dragonfly Baby Earrings,18Kt Yellow Gold Dragonfly Baby Earrings with Cubic Zirconia 0.60gr  8218Z Wbb,155,1,USA,"1,2,3","9,25,32",,Vaskia_036.jpg,,,,,"24,26",Yes,,
235546674952,18Kt Yellow Gold 5 Links Hoops,18Kt Yellow Gold Small 5 Links Hoops 12mm 2.20gr Cat/46,365,1,USA,"1,2","9,10,16",,Vaskia_038.jpg,,,,,27,Yes,,
200488133003,18k Yellow Gold Heart Silhouette,18k Yellow Gold Heart Shape Huggie 13mm CAT/34 2.30gr,340,1,USA,"1,2","9,17,21",,Vaskia_037.jpg,,,,,"25,27",Yes,,
241856426006,18Kt Yellow Gold Monachella Earrigns with Pearl,18Kt Yellow Gold Monachella Earrings with Pearl 8.5mm 3.20gr SG,510,1,USA,"1,2","9,16,19",,Vaskia_039.jpg,,,,,25,No,,
236328382348,18Kt Yellow Gold Thread Cultivated Pearl Earrings,18Kt Yellow Gold Thread Cultivated Pearl Earrings 6.3cm 1.5gr PT3770 LZ,210,2,Usa,"1,2","9,18,19",,Vaskia_040.jpg,,,,,25,Yes,,
243484102697,18Kt Yellow Gold Small Hoops,18Kt Yellow Gold Small Hoops 16mm 1.50gr 2500 Wbb,190,1,USA,"1,2","9,10",,Vaskia_041.jpg,,,,,27,Yes,,
228504770407,18Kt Yellow and White Curved Faced Triangular Huggies,18Kt Yellow and White Curved Faced Triangular Huggies 2.55gr Cat/40,340,0,USA,"1,2","9,16,23",,Vaskia_042(corregida).jpg,,,,,25,N0,,
236809220567,18Kt Yellow Gold Huggie,18Kt Yellow Gold Huggie 10 mm High 6mm Wide 1.78gr 30698 Wbb,290,2,USA,"1,2","9,16,23",,Vaskia_043(corregida).jpg,,,,,25,Yes,,
201644154009,18Kt Yellow Gold Perforated Hollow Sphere Monachella Earrings ,18Kt Yellow Gold Perforated Hollow Sphere Monachella Earrings 14mm 3.80gr Cat/38,540,2,USA,"1,2","9,17",,Vaskia_044.jpg,,,,,25,No,,
243357623489,18Kt Yellow Gold Thread Heart Tip Earings,18Kt Yellow Gold Boucles D'oreilles 12.7cm Long 0.85gr 3774 Wbb,155,1,USA,"1,2","9,18,21",,Vaskia_045.jpg,,,,,25,Yes,,
245347487682,18Kt Yellow Gold Polished Heart Thread Earrings ,18Kt Yellow Gold Thread Polished Heart Earrings 9mm Wide 8.5cm Long 1gr PT3862 LZ,210,2,USA,"1,2","9,17,18,21",,Vaskia_046(corregida).jpg,,,,,25,Yes,,
245228080629,18Kt Yellow Gold Pink and White Center Flower Hoop Earrings,18Kt Yellow Gold Pink and White Center Flower Hoop Earrings 10mm internal Hoop 6mm Flower 1.00gr  8312 LZ,195,0,USA,"1,2","9,10",,Vaskia_047.jpg,,,,,27,Yes,,
245327383881,18Kt Yellow Gold Turquoise Center Flower Hoop,18Kt Yellow Gold Turquoise Center Flower Hoop 13mm or 0.51in Hoop 1.00gr 831401 LZ,190,0,USA,"1,2","9,10",,Vaskia_048.jpg,,,,,27,Yes,,
236587099766,18Kt Yellow Gold Oval Dangle Earrings,18Kt Yellow Gold Oval Dangle Earrings 1.4in 2.56gr PT86 LZ,260,1,USA,"1,2","9,17,18,19",,Vaskia_049.jpg,,,,,25,Yes,,
217384265684,18Kt Yellow and White Gold 3D Circle & Pearl Baby Earrings,18Kt Yellow and White 3D Circle & Pearl Baby Earrings Screwbacks 0.60gr 927-6 LZ,220,1,USA,"1,2,3","9,25,32",,Vaskia_050.jpg,,,,,"24,26",Yes,,
219324668371,18Kt Yellow Gold Pearl Earrings,18Kt Yellow Gold Pearl Earrings 9mm 2.7gr 8376.3P Wbb,245,0,USA,"1,2","9,16,17,19",,Vaskia_051.jpg,,,,,25,Yes,,
262376580054,18Kt Yellow Gold White Pearl Earrings,18Kt Yellow Gold White Pearl Earrings 3mm  8376.3P Wbb,80,0,USA,"1,2","9,16,17,19",,Vaskia_051.jpg,,,,,25,Yes,yellow,3mm
256952163663,18Kt Yellow Gold White Pearl Earrings,18Kt Yellow Gold White Pearl Earrings 4mm  8376.4P Wbb,110,1,USA,"1,2","9,16,17,19",,Vaskia_051.jpg,,,,,25,Yes,yellow,4mm
261966699367,18Kt Yellow Gold White Pearl Earrings,18Kt Yellow Gold White Pearl Earrings 5mm  8376.5P Wbb,130,0,USA,"1,2","9,16,17,19",,Vaskia_051.jpg,,,,,25,Yes,yellow,5mm
261973246981,18Kt Yellow Gold White Pearl Earrings,18Kt Yellow Gold White Pearl Earrings 6mm  8376.6P Wbb,145,0,USA,"1,2","9,16,17,19",,Vaskia_051.jpg,,,,,25,Yes,yellow,6mm
203191112006,18Kt Yellow Gold White Pearl Earrings,18Kt Yellow Gold White Pearl Earrings 7mm  8376.7P Wbb,185,2,USA,"1,2","9,16,17,19",,Vaskia_051.jpg,,,,,25,Yes,yellow,7mm
203193114503,18Kt Yellow Gold White Pearl Earrings,18Kt Yellow Gold White Pearl Earrings 8mm  8376.8P Wbb,275,2,USA,"1,2","9,16,17,19",,Vaskia_051.jpg,,,,,25,Yes,yellow,8mm
201736111804,18Kt Yellow Gold Hearts and Pearls Baby Earrings,18Kt Yellow Gold Hearts With Hanging Pearls Baby Earrings Screwbacks 7mm 0.40gr 904-7 Wbb,130,1,USA,"1,2,3","9,25,32",,Vaskia_052(corregido).jpg,,,,,"24,26",Yes,,
236118286276,18Kt Yellow and White Gold Pearl with Cubic Zirconia Circle Baby Earrings,18Kt Yellow and White Gold Pearl with Cubic Zirconia Circle Screwback Baby Earrings 5mm 0.70gr 572-1P LZ,175,1,USA,"1,2","9,25,32",,Vaskia_053.jpg,,,,,"24,26",Yes,,
240707727736,18KT White Gold Cubic Zirconia Stud Earrings,18KT White Gold Cubic Zirconia Stud Earrings 2mm 0.25gr 8035.2GZ Wbb,45,,USA,"1,2","9,17",,Vaskia_054.jpg,,,,,25,Yes,white,2mm
240661364145,18KT White Gold Cubic Zirconia Stud Earrings,18KT White Gold Cubic Zirconia Stud Earrings 2.5mm 0.25gr 8035.25GZ Wbb,50,,USA,"1,2","9,17",,Vaskia_054.jpg,,,,,25,Yes,white,2.5mm
240644603605,18KT White Gold Cubic Zirconia Stud Earrings,18KT White Gold Cubic Zirconia Stud Earrings 3mm 0.25gr 8035.3GZ Wbb,55,,USA,"1,2","9,17",,Vaskia_054.jpg,,,,,25,Yes,white,3mm
240612978582,18KT White Gold Cubic Zirconia Stud Earrings,18KT White Gold Cubic Zirconia Stud Earrings 4mm 0.25gr 8035.4GZ Wbb,70,,USA,"1,2","9,17",,Vaskia_054.jpg,,,,,25,Yes,white,4mm
240584584132,18KT White Gold Cubic Zirconia Stud Earrings,18KT White Gold Cubic Zirconia Stud Earrings 5mm 0.25gr 8035.5GZ Wbb,80,,USA,"1,2","9,17",,Vaskia_054.jpg,,,,,25,Yes,white,5mm
248916980089,18KT White Gold Cubic Zirconia Stud Earrings,18KT White Gold Cubic Zirconia Stud Earrings 6mm 0.25gr 8035.6GZ Wbb,85,,USA,"1,2","9,17",,Vaskia_054.jpg,,,,,25,Yes,white,6mm
262083572656,18KT White Gold Cubic Zirconia Stud Earrings,18KT White Gold Cubic Zirconia Stud Earrings 7mm 0.25gr 8035.7GZ Wbb,,,USA,"1,2","9,17",,Vaskia_054.jpg,,,,,25,Yes,white,7mm
262097096766,18KT White Gold Cubic Zirconia Stud Earrings,18KT White Gold Cubic Zirconia Stud Earrings 8mm 0.25gr 8035.8GZ Wbb,,,USA,"1,2","9,17",,Vaskia_054.jpg,,,,,25,Yes,white,8mm
240323016313,18KT Yellow Gold Cubic Zirconia Stud Earrings,18KT Yellow Gold Cubic Zirconia Stud Earrings 2mm 0.25gr 8035.2Z Wbb,45,1,USA,"1,2","9,17",,Vaskia_058.jpg,,,,,25,Yes,yellow,2mm
240343395016,18KT Yellow Gold Cubic Zirconia Stud Earrings,18KT Yellow Gold Cubic Zirconia Stud Earrings 2.5mm 0.25gr 8035.25Z Wbb,50,2,USA,"1,2","9,17",,Vaskia_058.jpg,,,,,25,Yes,yellow,2.5mm
240365537401,18KT Yellow Gold Cubic Zirconia Stud Earrings ,18KT Yellow Gold Cubic Zirconia Stud Earrings 3mm 0.25gr 8035.3Z Wbb,55,1,USA,"1,2","9,17",,Vaskia_058.jpg,,,,,25,Yes,yellow,3mm
240388894147,18KT Yellow Gold Cubic Zirconia Stud Earrings,18KT Yellow Gold Cubic Zirconia Stud Earrings 4mm 0.30gr 8035.4Z Wbb,70,1,USA,"1,2","9,17",,Vaskia_058.jpg,,,,,25,Yes,yellow,4mm
240408327396,18KT Yellow Gold Cubic Zirconia Stud Earrings,18KT Yellow Gold Cubic Zirconia Stud Earrings 5mm 0.40gr 8035.5Z Wbb,80,1,USA,"1,2","9,17",,Vaskia_058.jpg,,,,,25,Yes,yellow,5mm
240424998693,18KT Yellow Gold Cubic Zirconia Stud Earrings,18KT Yellow Gold Cubic Zirconia Stud Earrings 6mm 0.50gr 8035.6Z Wbb,85,,USA,"1,2","9,17",,Vaskia_058.jpg,,,,,25,Yes,yellow,6mm
,18KT Yellow Gold Cubic Zirconia Stud Earrings,18KT Yellow Gold Cubic Zirconia Stud Earrings 7mm 0.50gr 8035.7Z Wbb,,,USA,"1,2","9,17",,Vaskia_058.jpg,,,,,25,Yes,yellow,7mm
,18KT Yellow Gold Cubic Zirconia Stud Earrings,18KT Yellow Gold Cubic Zirconia Stud Earrings 8mm 0.50gr 8035.8Z Wbb,,,USA,"1,2","9,17",,Vaskia_058.jpg,,,,,25,Yes,yellow,8mm
236053749829,18Kt Yellow and White Gold Hearts with Pearl Baby Earrings ,18Kt Yellow and White Gold Heart with Pearls Screwback Baby Earrings 7mm 0.60gr 911-2 LZ,130,3,USA,"1,2,3","9,19,25,32,36",,Vaskia_059.jpg,,,,,"24,26",Yes,,
245464216165,18Kt Yellow Gold Turquoise Pearl Earrings,18Kt Yellow Gold Turquoise with Hanging Pearl Screwbacks Earrings 6mm x 4mm 1.00gr 1201T LZ,80,0,USA,"1,2,3","9,19,25,32,36",,Vaskia_052(corregida).jpg,,,,,"24,26",Yes,,
245267132518,18Kt Yellow Gold Open Flower Pearl Baby Earrings ,18Kt Yellow Gold Open Flower with Hanging Pearl Screwback Baby Earrings 9mm 1.00gr 145021P LZ,115,0,USA,"1,2,3","9,19,25,32,36",,Vaskia_061.jpg,,,,,"24,26",Yes,,
243466580031,18Kt Yellow Gold Hoops,18Kt Yellow Gold Hoops 10mm 0.35gr 8056 Wbb,65,0,USA,"1,2,3","9,10,17,36",,Vaskia_063.jpg,,,,,"25,27",Yes,,
201798132502,18KT Yellow Gold Round Rosary,18KT Yellow Gold Round Rosary 42cm Beads 1.75mm 2.00gr Cat/50,290,3,USA,"1,2,3","8,20,34,37",,Vaskia_064.jpg,,,,,,No,,
201624166008,18Kt Yellow White and Rose Gold Traditional Rosary ,18Kt Yellow White and Rose Gold Traditional Rosary 5.20gr Cat/Tur ,650,0,USA,"1,2,3","8,20,34",,Vaskia_066.jpg,,,,,,No,,
237803844368,18Kt Yellow Gold 1mm Microsphere Children's Chain ,18Kt Yellow Gold 1mm Microsphere Children's Chain 33cm 1.70gr 801500-1 LZ,195,1,USA,"1,2,3","2,10,36",,Vaskia_067.jpg,,,,,27,Yes,,
237796782883,18Kt Yellow Gold Microsphere Chain,18Kt Yellow Gold 1mm Microsphere Chain 40cm 2.10gr 801500-2 LZ,230,1,USA,"1,2,3","2,16,17,37",,Vaskia_067.jpg,,,,,,Yes,,
244867364091,18Kt Yellow Gold Three Center Hearts Necklace ,18Kt Yellow Gold Three Center Hearts Necklace 44.5cm with Extra Ring at 41cm 2.5gr Ga4130 LZ,360,1,USA,"1,2,3","4,17,18,37",,Vaskia_068.jpg,,,,,,Yes,,
244913541889,18Kt Yellow White and Rose Gold Round Rosary,18Kt Yellow White and Rose Gold Round Rosary 41.5cm 2.15gr LZ 806500-1,285,1,USA,"1,2,3","8,20,34,37",,Vaskia_069.jpg,,,,,,Yes,,
201666114005,18Kt White Gold Diamond Cut Link Chain,18Kt White Gold Diamond Cut Link Chain 1.30gr 40cm Cat/14,140,1,USA,"1,2,3","2,16,17,37",,Vaskia_070.jpg,,,,,,No,,
244898109777,18Kt Yellow Gold Curve Bar Necklace ,18Kt Yellow Gold Curve Bar Necklace 40cm 1.90gr LZ GA3652,350,1,USA,"1,2,3","2,17,34",,Vaskia_072.jpg,,,,,,Yes,,
200380144503,18Kt Yellow Gold Chain with Diamond Cut White Gold Ovals,18Kt Yellow Gold Chain with Diamond Cut White Gold Ovals 40cm 3.40gr,430,1,USA,"1,2","4,16,17",,Vaskia_074.jpg,,,,,,Yes,,
213656908563,18Kt White Gold Rectangular Rolo Chain,18Kt White Gold Rectangular Rolo Chain 40cm 1.20gr WBB F24GR-40,110,6,USA,"1,2,3","2,16,17,36",,Vaskia_075.jpg,,,,,,Yes,,
